HomeTeam,AwayTeam,FTHG,FTAG,FTR
Sao Caetano,Cruzeiro,2,0,H
Parana,Santos,1,2,A
Sao Paulo,Juventude,3,1,H
Paysandu,Goias,2,2,D
Ponte Preta,Internacional,1,4,A
Coritiba,Flamengo,5,0,H
Atletico-MG,Corinthians,2,3,A
Figueirense,Vitoria,1,2,A
Bahia,Fortaleza,1,0,H
Vasco,Guarani,0,0,D
Gremio,Athletico-PR,1,1,D
Vasco,Vitoria,1,0,H
Bahia,Internacional,1,3,A
Figueirense,Santos,1,0,H
Coritiba,Juventude,1,0,H
Atletico-MG,Athletico-PR,1,2,A
Sao Paulo,Criciuma,0,0,D
Paysandu,Corinthians,2,2,D
Sao Caetano,Fortaleza,3,0,H
Ponte Preta,Cruzeiro,1,3,A
Parana,Guarani,0,0,D
Gremio,Goias,0,1,A
Fluminense,Flamengo,0,1,A
Flamengo,Sao Caetano,1,0,H
Goias,Parana,1,0,H
Juventude,Bahia,1,0,H
Cruzeiro,Coritiba,2,2,D
Athletico-PR,Figueirense,1,2,A
Vitoria,Gremio,4,1,H
Santos,Paysandu,2,0,H
Fortaleza,Sao Paulo,0,2,A
Corinthians,Vasco,0,0,D
Internacional,Fluminense,0,1,A
Guarani,Atletico-MG,2,2,D
Criciuma,Ponte Preta,3,0,H
Santos,Flamengo,2,1,H
Athletico-PR,Fortaleza,3,1,H
Goias,Cruzeiro,1,0,H
Gremio,Sao Caetano,0,0,D
Vasco,Sao Paulo,3,2,H
Paysandu,Ponte Preta,3,2,H
Parana,Fluminense,2,0,H
Vitoria,Juventude,3,0,H
Guarani,Criciuma,1,0,H
Figueirense,Coritiba,1,2,A
Corinthians,Internacional,3,1,H
Atletico-MG,Bahia,1,0,H
Fluminense,Gremio,2,0,H
Fortaleza,Santos,0,0,D
Internacional,Vitoria,0,1,A
Cruzeiro,Guarani,4,1,H
Sao Paulo,Paysandu,1,0,H
Sao Caetano,Vasco,1,0,H
Juventude,Goias,0,2,A
Flamengo,Corinthians,1,0,H
Bahia,Parana,4,2,H
Ponte Preta,Figueirense,1,1,D
Criciuma,Athletico-PR,2,0,H
Coritiba,Atletico-MG,2,2,D
Santos,Criciuma,5,2,H
Athletico-PR,Cruzeiro,1,4,A
Gremio,Bahia,1,1,D
Corinthians,Fortaleza,2,0,H
Vitoria,Flamengo,1,0,H
Figueirense,Sao Paulo,2,2,D
Goias,Internacional,3,1,H
Paysandu,Sao Caetano,1,0,H
Guarani,Juventude,2,0,H
Parana,Coritiba,2,3,A
Vasco,Fluminense,1,0,H
Atletico-MG,Ponte Preta,2,0,H
Cruzeiro,Santos,3,0,H
Coritiba,Gremio,1,0,H
Ponte Preta,Parana,4,0,H
Fluminense,Paysandu,1,1,D
Internacional,Guarani,2,0,H
Bahia,Vasco,3,0,H
Criciuma,Corinthians,1,0,H
Fortaleza,Vitoria,1,0,H
Juventude,Athletico-PR,4,0,H
Sao Caetano,Figueirense,0,2,A
Sao Paulo,Atletico-MG,2,2,D
Flamengo,Goias,1,1,D
Athletico-PR,Internacional,2,1,H
Gremio,Ponte Preta,2,2,D
Goias,Fortaleza,0,1,A
Paysandu,Bahia,4,0,H
Vitoria,Criciuma,1,1,D
Guarani,Flamengo,5,3,H
Parana,Sao Paulo,4,2,H
Santos,Juventude,1,1,D
Corinthians,Cruzeiro,0,1,A
Figueirense,Fluminense,2,2,D
Vasco,Coritiba,2,1,H
Atletico-MG,Sao Caetano,3,1,H
Internacional,Santos,1,0,H
Sao Paulo,Gremio,3,1,H
Flamengo,Athletico-PR,2,1,H
Cruzeiro,Vitoria,1,0,H
Bahia,Figueirense,1,1,D
Criciuma,Goias,1,0,H
Fortaleza,Guarani,3,0,H
Juventude,Corinthians,6,1,H
Ponte Preta,Vasco,2,2,D
Sao Caetano,Parana,2,0,H
Fluminense,Atletico-MG,0,1,A
Coritiba,Paysandu,1,0,H
Athletico-PR,Fluminense,0,0,D
Paysandu,Internacional,0,0,D
Sao Caetano,Ponte Preta,1,0,H
Gremio,Figueirense,3,1,H
